frame,y
790.0,0.18275449101796407
791.0,0.17508982035928145
792.0,0.16407185628742516
795.0,0.15233532934131735
797.0,0.14203592814371258
800.0,0.12622754491017965
803.0,0.10634730538922156
804.0,0.10155688622754491
808.0,0.09700598802395209
809.0,0.10179640718562874
810.0,0.10538922155688622
811.0,0.10922155688622755
812.0,0.11089820359281437
817.0,0.12646706586826348
821.0,0.13796407185628742
826.0,0.15137724550898204
830.0,0.16479041916167664
832.0,0.15520958083832334
833.0,0.15353293413173652
836.0,0.13796407185628742
837.0,0.12766467065868264
838.0,0.12550898203592814
841.0,0.1118562874251497
843.0,0.10323353293413173
846.0,0.08622754491017964
849.0,0.0725748502994012
850.0,0.06802395209580839
855.0,0.08646706586826347
856.0,0.08934131736526946
859.0,0.10083832335329342
862.0,0.11041916167664671
865.0,0.11760479041916168
868.0,0.1281437125748503
871.0,0.14011976047904193
874.0,0.14395209580838322
877.0,0.1302994011976048
879.0,0.12071856287425149
882.0,0.10155688622754491
885.0,0.09125748502994012
888.0,0.07473053892215568
891.0,0.06059880239520958
894.0,0.05532934131736527
897.0,0.06538922155688623
900.0,0.0725748502994012
903.0,0.08407185628742515
906.0,0.09125748502994012
909.0,0.10275449101796408
912.0,0.09508982035928144
915.0,0.07832335329341317
916.0,0.07353293413173653
918.0,0.0562874251497006
919.0,0.052934131736526946
921.0,0.041916167664670656
923.0,0.032335329341317366
925.0,0.019880239520958083
926.0,0.025149700598802394
928.0,0.032335329341317366
931.0,0.04431137724550898
934.0,0.051976047904191615
935.0,0.05437125748502994
937.0,0.06011976047904192
939.0,0.06538922155688623
942.0,0.07281437125748504
945.0,0.07856287425149701
948.0,0.09125748502994012
951.0,0.10083832335329342
954.0,0.11017964071856287
957.0,0.1178443113772455
960.0,0.11209580838323353
961.0,0.10083832335329342
963.0,0.09197604790419162
965.0,0.08239520958083832
967.0,0.0718562874251497
969.0,0.057245508982035925
970.0,0.05269461077844311
971.0,0.04862275449101797
972.0,0.04311377245508982
973.0,0.041916167664670656
974.0,0.046706586826347304
975.0,0.04694610778443114
976.0,0.05149700598802395
977.0,0.05676646706586826
978.0,0.058682634730538925
979.0,0.06131736526946108
980.0,0.06323353293413174
981.0,0.06538922155688623
982.0,0.06826347305389222
983.0,0.058682634730538925
984.0,0.052455089820359284
985.0,0.04718562874251497
986.0,0.043353293413173656
987.0,0.03832335329341317
988.0,0.0325748502994012
989.0,0.027065868263473052
990.0,0.01652694610778443
991.0,0.018922155688622756
992.0,0.021317365269461076
993.0,0.0237125748502994
994.0,0.02467065868263473
995.0,0.027784431137724552
996.0,0.03065868263473054
997.0,0.03425149700598802
998.0,0.03808383233532934
999.0,0.04119760479041916
1000.0,0.04119760479041916
