frame,y
39.0,0.17892215568862274
40.0,0.16766467065868262
45.0,0.1274251497005988
46.0,0.11976047904191617
49.0,0.10347305389221557
50.0,0.10347305389221557
55.0,0.11520958083832335
56.0,0.11520958083832335
60.0,0.12143712574850299
62.0,0.12574850299401197
66.0,0.13221556886227545
67.0,0.1341317365269461
69.0,0.13820359281437125
73.0,0.14179640718562875
74.0,0.14562874251497007
76.0,0.13437125748502993
77.0,0.11904191616766467
78.0,0.11017964071856287
79.0,0.10227544910179641
80.0,0.09676646706586826
81.0,0.08934131736526946
82.0,0.08311377245508982
83.0,0.07832335329341317
84.0,0.08239520958083832
85.0,0.08119760479041917
